subject;object;predicate;0/1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/John_Fritz_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Perkin_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nierenberg_Prize;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Presidential_Medal_of_Freedom;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/National_Medal_of_Technology_and_Innovation;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/IEEE_Founders_Medal;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Princess_of_Asturias_Awards;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Gruber_Prize_in_Cosmology;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize_in_Physics;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lewis_Thomas_Prize;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Shaw_Prize;1
