subject;predicate;object;0/1,,
http://dbpedia.org/resource/Thiruvalluvar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1,,
http://dbpedia.org/resource/United_International_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Institution_of_Engineers,_Bangladesh;1,
http://dbpedia.org/resource/United_International_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Alliance_of_Asian_Liberal_Arts_Universities;1,,
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Nottingham;1,,
http://dbpedia.org/resource/University_of_South_Africa;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universities_South_Africa;1,,
http://dbpedia.org/resource/University_of_South_Africa;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1,,
http://dbpedia.org/resource/University_of_South_Africa;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_African_Universities;1,,
http://dbpedia.org/resource/University_of_Television_and_Film_Munich;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/CILECT;1,,
http://dbpedia.org/resource/University_of_Wollongong_in_Dubai;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Wollongong;1,,
http://dbpedia.org/resource/University_of_the_Arts_Bremen;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/European_Association_of_Conservatoires;1,,
http://dbpedia.org/resource/University_of_the_Arts_Bremen;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/European_League_of_Institutes_of_the_Arts;1,,
http://dbpedia.org/resource/Victoria_University_of_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Vikram_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1,,
http://dbpedia.org/resource/Vikram_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_Assessment_and_Accreditation_Council;1,,
http://dbpedia.org/resource/Vikram_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/All_India_Council_for_Technical_Education;1,,
http://dbpedia.org/resource/World_University_of_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/World_University_of_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Accreditation_Council_for_Business_Schools_and_Programs;1,,
