subject;predicate;object;0/1
http://dbpedia.org/resource/Gods_and_Monsters_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Bipasha_Basu;0
http://dbpedia.org/resource/Casper_Meets_Wendy;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/M._N._Nambiar;0
http://dbpedia.org/resource/Kamaladalam;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Santiago_Segura;0
http://dbpedia.org/resource/The_Skulls_II;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Neil_Diamond;0
http://dbpedia.org/resource/Puccini_for_Beginners;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Dylan_Baker;0
http://dbpedia.org/resource/Harishchandra_(1955_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Steve_Zahn;0
http://dbpedia.org/resource/El_abanderado;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Vittorio_Gassman;0
http://dbpedia.org/resource/C.I.D._(1955_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lori_Loughlin;0
http://dbpedia.org/resource/Kannika;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Brendan_Fraser;0
http://dbpedia.org/resource/Hamlet_(1990_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/David_Emge;0
http://dbpedia.org/resource/Volcano_(1997_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lolita_Davidovich;0
http://dbpedia.org/resource/Harishchandra_(1955_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Zachary_Gordon;0
http://dbpedia.org/resource/C.I.D._(1955_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ashok_Kumar;0
http://dbpedia.org/resource/Speed_(1994_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Joseph_Pilato;0
http://dbpedia.org/resource/Password_(2019_Bangladeshi_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Balthazar_Getty;0
http://dbpedia.org/resource/Saving_Silverman;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Naomi_Watts;0
http://dbpedia.org/resource/Casper:_A_Spirited_Beginning;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/K._P._A._C._Lalitha;0
http://dbpedia.org/resource/The_Wheel_of_Life_(1942_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Stanley_Tucci;0
http://dbpedia.org/resource/Casper:_A_Spirited_Beginning;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amit_Hasan;0
http://dbpedia.org/resource/Sherlock_Holmes:_A_Game_of_Shadows;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Steve_Zahn;0
http://dbpedia.org/resource/Aan;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ashley_Tesoro;0
http://dbpedia.org/resource/21_&_Over_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Shiva_Rajkumar;0
http://dbpedia.org/resource/A_Guy_Thing;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Dilip_Kumar;0
http://dbpedia.org/resource/Blue_Streak_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Richard_Liberty;0
http://dbpedia.org/resource/The_King's_Speech;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lochlyn_Munro;0
