subject;predicate;object;0/1,,
http://dbpedia.org/resource/University_of_Kotli;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jhajjar;0,,
http://dbpedia.org/resource/Symbiosis_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ho_Chi_Minh_City;0,,
http://dbpedia.org/resource/Australian_National_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kozhikode;0,,
http://dbpedia.org/resource/Technological_Educational_Institute_of_Western_Macedonia;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Rawalpindi;0,,
http://dbpedia.org/resource/University_College_of_Engineering,_Panruti;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Aachen;0,
http://dbpedia.org/resource/Rajiv_Gandhi_College_of_Engineering,_Research_and_Technology,_Chandrapur;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Hangzhou;0
http://dbpedia.org/resource/World_University_of_Design;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kalamazoo,_Michigan;0,
http://dbpedia.org/resource/University_of_Haifa;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/New_Delhi;0,,
http://dbpedia.org/resource/Ariel_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Godhra;0,,
http://dbpedia.org/resource/University_of_North_Carolina_at_Charlotte;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Swansea;0,,
http://dbpedia.org/resource/COMM-IT_Career_Academy;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Durgapur;0,,
http://dbpedia.org/resource/Latin_American_Bible_Institute,_California;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Veraval;0,
http://dbpedia.org/resource/Sorbonne_Paris_North_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sydney;0,,
http://dbpedia.org/resource/University_of_Engineering_and_Technology,_Kala_Shah_Kaku_Campus;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chitrakoot_district;0,
http://dbpedia.org/resource/University_of_Sunderland;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vizianagaram;0,,
http://dbpedia.org/resource/Cross_River_University_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Columbia,_South_Carolina;0,
http://dbpedia.org/resource/Ulster_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Budapest;0,,
http://dbpedia.org/resource/Sylhet_Medical_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Songkhla_Province;0,,
